N,C,capacity_ratio,distribution,alpha,policy,warmup_T,measure_T,seed,avg_key_size,maxmemory_bytes,dbsize_after,theory_hit_rate,redis_hit_rate,hits,misses,error,abs_error,theory_hit_rate_actual,error_actual,abs_error_actual
10000,500,0.05,zipf,1.0,allkeys-lru,50000,100000,20242203,251.92,1067640,284,0.6940229720091813,0.51982,51982,48018,-0.1742029720091813,0.1742029720091813,0.6363097789504845,-0.11648977895048451,0.11648977895048451
10000,500,0.05,zipf,1.0,allkeys-lfu,50000,100000,20242301,251.92,1067640,286,0.6940229720091813,0.62667,62667,37333,-0.0673529720091813,0.0673529720091813,0.6370255081492825,-0.010355508149282544,0.010355508149282544
10000,500,0.05,zipf,1.0,allkeys-lfu,50000,100000,20242302,251.92,1067640,286,0.6940229720091813,0.62704,62704,37296,-0.0669829720091812,0.0669829720091812,0.6370255081492825,-0.009985508149282452,0.009985508149282452
10000,500,0.05,zipf,1.0,allkeys-lfu,50000,100000,20242303,251.92,1067640,286,0.6940229720091813,0.62433,62433,37567,-0.0696929720091812,0.0696929720091812,0.6370255081492825,-0.012695508149282442,0.012695508149282442
10000,2000,0.2,zipf,1.0,allkeys-lru,50000,100000,20242401,251.92,1445520,1918,0.8355841125492963,0.76716,76716,23284,-0.0684241125492963,0.0684241125492963,0.8313079374001207,-0.0641479374001207,0.0641479374001207
10000,2000,0.2,zipf,1.0,allkeys-lru,50000,100000,20242402,251.92,1445520,1918,0.8355841125492963,0.76663,76663,23337,-0.0689541125492962,0.0689541125492962,0.8313079374001207,-0.06467793740012062,0.06467793740012062
10000,2000,0.2,zipf,1.0,allkeys-lru,50000,100000,20242403,251.92,1445520,1918,0.8355841125492963,0.76713,76713,23287,-0.0684541125492963,0.0684541125492963,0.8313079374001207,-0.06417793740012068,0.06417793740012068
10000,2000,0.2,zipf,1.0,allkeys-lfu,50000,100000,20242501,251.92,1445520,1918,0.8355841125492963,0.79898,79898,20102,-0.0366041125492963,0.0366041125492963,0.8313079374001207,-0.03232793740012063,0.03232793740012063
10000,2000,0.2,zipf,1.0,allkeys-lfu,50000,100000,20242502,251.92,1445520,1918,0.8355841125492963,0.79612,79612,20388,-0.0394641125492962,0.0394641125492962,0.8313079374001207,-0.035187937400120606,0.035187937400120606
10000,2000,0.2,zipf,1.0,allkeys-lfu,50000,100000,20242503,251.92,1445520,1918,0.8355841125492963,0.79671,79671,20329,-0.0388741125492962,0.0388741125492962,0.8313079374001207,-0.034597937400120626,0.034597937400120626
